OPOD..,DPOD..,SHIPPER..................,BILLTO..,TR,OS,OCTY......,DS,DCTY......,MVES,RPBM-,FSUR,LMLS,LDYS,EMLS,EDYS,OVCS,MTYV-,TMEV-,LDSV-,FRTQ-,ZIP1..,ZIP2..,ZIP3..,REAL,C: CSR............;C: PLN............;C: SLS............;
AL-BIR,TN-KNO,M n W FREIGHT SERVICE|   ,1111232_,V.,AL,BIRMINGHAM,TN,KNOXVILLE ,   1, 1.92, .28, 272,1.04,  13, .25, -74,    0, -147,   -7, -154,35020 ,35203 ,37950 ,1.96,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-BIR,TN-MEM,b: REDWOOD MULTIMODAL|   ,1111217_,V.,AL,VINCENT   ,TN,MEMPHIS   ,   1, 1.47, .27, 259, .70,  43, .25, -15,    0,   -1,  -84,  -85,35020 ,35178 ,38101 ,1.50,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-BIR,TN-MEM,BORAL BRICK          |   ,200482__,V.,AL,BESSEMER  ,TN,ARLINGTON ,   2, 1.66, .27, 238, .90,   3, .25, -15,  -64, -153,  -47, -264,35020 ,35020 ,38002 ,1.69,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,TN-MEM,BORAL BRICK          |   ,200482__,V.,AL,BESSEMER  ,TN,CORDOVA   ,   6, 1.66, .19, 238, .52,  70, .31,   4,  -64,   10,  -67, -121,35203 ,35020 ,38018 ,1.61,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,TN-MEM,MACLEAN POWER SYSTEMS|   ,1112006_,V.,AL,ALABASTER ,TN,MEMPHIS   ,  48, 1.86, .21, 246, .62,  35, .26,   0,  -49,  -33,   -9,  -91,35954 ,35007 ,38101 ,1.83,C: UNASSIGNED        ;P: STEPHANIE......   ;S: UNASSIGNED        ,UNKSTEU
AL-BIR,TN-MEM,MACLEAN POWER SYSTEMS|   ,1112006_,V.,AL,BESSEMER  ,TN,MEMPHIS   ,  25, 2.36, .21, 232, .59,  20, .26,  -2,  -34,  -20,   94,   40,35055 ,35020 ,38101 ,2.33,C: UNASSIGNED        ;P: STEPHANIE......   ;S: UNASSIGNED        ,UNKSTEU
AL-BIR,TN-MEM,MACLEAN POWER SYSTEMS|   ,1112006_,V.,AL,PELHAM    ,TN,MEMPHIS   ,  53, 1.89, .21, 242, .71,  31, .26,  -3,  -41,  -71,   -5, -117,35020 ,35124 ,38101 ,1.86,C: UNASSIGNED        ;P: STEPHANIE......   ;S: UNASSIGNED        ,UNKSTEU
AL-BIR,TN-NAS,48 FOURTY SOLUTIONS  |   ,1111491_,V.,AL,BIRMINGHAM,TN,PORTLAND  ,   7, 2.62, .22, 229, .44,  14, .26,   0,  -20,   45,  192,  217,35203 ,35203 ,37148 ,2.60,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,TN-NAS,b: JB HUNT           |   ,263829__,V.,AL,BIRMINGHAM,TN,GALLATIN  ,   1, 2.35, .28, 218, .88,  13, .25, -16,    0, -145,  133,  -12,35020 ,35203 ,37066 ,2.39,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-BIR,TN-NAS,b: SATURN BROKERAGE I|   ,1112259_,V.,AL,MOODY     ,TN,MURFREESBO,   2, 1.59, .28, 214, .65,  19, .25, -16,    0,  -46,  -37,  -83,35094 ,35004 ,37127 ,1.63,C: UNASSIGNED        ;P: STEPHANIE......   ;S: UNASSIGNED        ,UNKSTEU
