OPOD..,DPOD..,SHIPPER..................,BILLTO..,TR,OS,OCTY......,DS,DCTY......,MVES,RPBM-,FSUR,LMLS,LDYS,EMLS,EDYS,OVCS,MTYV-,TMEV-,LDSV-,FRTQ-,ZIP1..,ZIP2..,ZIP3..,REAL,C: CSR............;C: PLN............;C: SLS............;
AL-OPE,IA-SC.,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,IA,SIOUX CITY,   1, 1.88, .19,1061,2.88,   0, .25,  21,  -62, -225,  370,   83,36830 ,36830 ,51101 ,1.85,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,IL-CHI,VISUAL PAK CO        |   ,247798__,V.,AL,VALLEY    ,IL,CHICAGO   ,   1, 1.12, .27, 789,1.13,  85, .30, -35, -161,  159,  -72,  -74,30027 ,36854 ,60601 ,1.17,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,IL-ELG,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,IL,ELK GROVE ,   1, 1.57, .19, 749,1.04, 110, .35,  48,  -62,  135,  308,  381,35203 ,36830 ,60007 ,1.54,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,IL-JOL,b: GLOBALTRANZ       |   ,249818__,V.,AL,AUBURN    ,IL,CHANNAHON ,   8, 1.05, .27, 782,1.57,  48, .29, -36,  -65,   55, -117, -127,35055 ,36830 ,60410 ,1.10,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-OPE,IN-FW.,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,IN,AUBURN    ,   3, 1.34, .20, 715,1.31,  23, .27,  20,  -62,   71,   23,   32,36830 ,36830 ,46706 ,1.32,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,IN-FW.,VISUAL PAK CO        |   ,247798__,V.,AL,AUBURN    ,IN,AUBURN    ,   1, 1.24, .27, 726,1.61,   0, .25, -31, -109,    0,    8, -101,36830 ,36830 ,46706 ,1.29,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AL-OPE,IN-LAF,b: C H ROBINSON      |   ,243602__,V.,AL,AUBURN    ,IN,LAFAYETTE ,   1, 1.12, .27, 648,1.21,   0, .25, -25,    7,    1,  -27,  -19,36830 ,36830 ,47901 ,1.17,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AL-OPE,KY-LEX,b: C H ROBINSON      |   ,243602__,V.,AL,COTTONTON ,KY,NICHOLASVI,   1, 1.94, .28, 518, .69,  60, .30, -37,  -69,   84,  208,  223,36830 ,36851 ,40340 ,2.00,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-OPE,KY-LEX,b: TOP WORLDWIDE LLC |   ,1111955_,V.,AL,LAFAYETTE ,KY,WINCHESTER,   1, 2.06, .28, 469, .79,  23, .25, -33,  -22,   42,  219,  239,36830 ,36862 ,40391 ,2.12,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-OPE,MD-BAL,JOANN FABRIC         |   ,1112339_,V.,AL,OPELIKA   ,DE,NEWARK    ,   1, 1.90, .22, 848,1.75, 161, .40,  64, -128,    3,   60,  -65,35055 ,36801 ,19702 ,1.90,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-OPE,MD-BAL,JOANN FABRIC         |   ,1112339_,V.,AL,OPELIKA   ,MD,FREDERICK ,   1, 1.90, .22, 754,1.81, 126, .35,  -7, -128,   -2,   51,  -79,31201 ,36801 ,21701 ,1.90,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-OPE,MI-DET,VISUAL PAK CO        |   ,247798__,V.,AL,VALLEY    ,MI,DETROIT   ,   1, 1.00, .27, 804,1.92,  26, .25, -49, -161,  -38, -510, -709,36830 ,36854 ,48201 ,1.05,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,MI-JAC,MSJK LOGISTICS       |   ,1111794_,V.,AL,AUBURN    ,MI,HUDSON    ,   1, 2.06, .28, 789,1.81,   0, .25, -42,    7,   -2,  508,  513,36830 ,36830 ,49247 ,2.12,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-OPE,MI-JAC,MSJK LOGISTICS       |   ,1111794_,V.,AL,AUBURN    ,MI,LITCHFIELD,   1, 2.08, .28, 784,1.38,   0, .25, -42,    7,  100,  514,  621,36830 ,36830 ,49252 ,2.14,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-OPE,MI-KAL,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,MI,THREE RIVE,   2, 1.78, .20, 764,1.81,   0, .25,  21,  -62,   -2,   69,    5,36830 ,36830 ,49093 ,1.76,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,MO-SIK,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,MO,SIKESTON  ,   1, 1.48, .20, 448, .89, 164, .40,   5,  -62,   -1,  140,   77,30501 ,36830 ,63801 ,1.46,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-OPE,NC-CHA,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,NC,CHARLOTTE ,   2, 1.89, .19, 348, .81,   0, .25,   7,  -62,    5,   59,    2,36830 ,36830 ,28201 ,1.86,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,NY-POU,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,NY,RED HOOK  ,   1, 1.81, .20,1034,1.95,   0, .25,  38,  -62,    3, -212, -271,36830 ,36830 ,12571 ,1.79,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,OH-CLE,VISUAL PAK CO        |   ,247798__,V.,AL,VALLEY    ,OH,STRONGSVIL,   1, 1.40, .27, 778,1.13,  80, .30, -47, -161,  159,  181,  179,36101 ,36854 ,44136 ,1.45,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AL-OPE,OH-MAN,b: QUICKWAY LOGISTICS|   ,1111727_,V.,AL,COTTONTON ,OH,ASHLAND   ,   1, 1.69, .28, 782,1.71,  60, .30, -54,  -69,   22,  370,  323,36830 ,36851 ,44805 ,1.75,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-OPE,TN-JAC,b: ONLINE FREIGHT SER|   ,227139__,V.,AL,PHENIX CIT,TN,UNION CITY,   1, 1.63, .27, 422, .88,  35, .25, -25,  -37,    1,  364,  328,36830 ,36867 ,38261 ,1.68,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-OPE,TN-JAC,JOANN FABRIC         |   ,1112339_,V.,AL,OPELIKA   ,TN,JACKSON   ,   4, 1.90, .22, 559,1.85,  63, .30,-172, -128, -177,  743,  438,35055 ,36801 ,38301 ,1.90,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-OPE,TN-JAC,MTD PRODUCTS INC     |   ,225405__,V.,AL,AUBURN    ,TN,MARTIN    ,   6, 1.37, .20, 383, .94,  36, .28,   4,  -83,  -40,  198,   75,36830 ,36830 ,38237 ,1.35,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-OPE,TN-MEM,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,TN,MUNFORD   ,   1, 1.61, .20, 360, .76,   0, .25,   3,  -62,    3,  287,  228,36830 ,36830 ,38058 ,1.59,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,TN-NAS,b: TITAN TRANSFER LOG|   ,235774__,V.,AL,PHENIX CIT,TN,ALGOOD    ,   2, 1.77, .28, 317,1.35,  35, .25, -22,  -37, -123,  -35, -195,36830 ,36867 ,38501 ,1.83,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
